timestamp_utc,container_id,mem_used_raw,mem_used_bytes
2026-02-21T17:55:50.7818476Z,32bf8454725c6b69b246eae152962f258ecb123818deaa9df9096b2422a4221a,56.07MiB,58793656
2026-02-21T17:56:52.8833649Z,32bf8454725c6b69b246eae152962f258ecb123818deaa9df9096b2422a4221a,54.98MiB,57650708
2026-02-21T17:57:54.9419638Z,32bf8454725c6b69b246eae152962f258ecb123818deaa9df9096b2422a4221a,55MiB,57671680
