timestamp_utc,container_id,mem_used_raw,mem_used_bytes
2026-02-22T18:14:27.0299905Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,104.5MiB,109576192
2026-02-22T18:15:28.2134303Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.86MiB,62767759
2026-02-22T18:16:29.4021959Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.69MiB,63638077
2026-02-22T18:17:31.2937873Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.13MiB,63050875
2026-02-22T18:18:33.6536697Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.87MiB,62778245
2026-02-22T18:19:35.9206538Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.83MiB,62736302
2026-02-22T18:20:37.1088701Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.8MiB,62704845
2026-02-22T18:21:38.2877654Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.85MiB,63805850
2026-02-22T18:22:39.4857823Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.05MiB,62966989
2026-02-22T18:23:41.5524697Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.76MiB,63711478
2026-02-22T18:24:43.9031450Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.99MiB,62904074
2026-02-22T18:25:45.1350601Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.21MiB,63134761
2026-02-22T18:26:46.3319166Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.22MiB,63145247
2026-02-22T18:27:47.5102070Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.85MiB,62757274
2026-02-22T18:28:48.7649488Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.43MiB,62316872
2026-02-22T18:29:49.9920454Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.36MiB,63292047
2026-02-22T18:30:51.9133368Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,61.18MiB,64151880
2026-02-22T18:31:54.2846743Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.98MiB,63942164
2026-02-22T18:32:56.5875193Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.23MiB,63155732
2026-02-22T18:33:57.7644308Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.39MiB,62274929
2026-02-22T18:34:58.9517049Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.41MiB,62295900
2026-02-22T18:36:00.1594906Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.34MiB,63271076
